Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance Difuse_horiz-circumsolar Global_tilt_reflectd_rad Upward_reflctd_radiation
.5140E+03 .1827E+01 .1380E+01 .2203E+00 .1325E+01 .1105E+01 .4325E+00 .2876E+00 .7201E+00 .2203E+00 .1774E+00 .3420E+00
.5150E+03 .1808E+01 .1367E+01 .2170E+00 .1312E+01 .1095E+01 .4286E+00 .2847E+00 .7133E+00 .2170E+00 .1762E+00 .3396E+00
.5160E+03 .1804E+01 .1366E+01 .2155E+00 .1309E+01 .1094E+01 .4281E+00 .2841E+00 .7121E+00 .2155E+00 .1763E+00 .3399E+00
.5170E+03 .1602E+01 .1214E+01 .1905E+00 .1163E+01 .9725E+00 .3806E+00 .2523E+00 .6329E+00 .1905E+00 .1571E+00 .3029E+00
.5180E+03 .1684E+01 .1278E+01 .1993E+00 .1223E+01 .1024E+01 .4006E+00 .2653E+00 .6659E+00 .1993E+00 .1656E+00 .3194E+00
.5190E+03 .1767E+01 .1342E+01 .2080E+00 .1283E+01 .1075E+01 .4205E+00 .2782E+00 .6988E+00 .2080E+00 .1742E+00 .3360E+00
.5200E+03 .1832E+01 .1392E+01 .2144E+00 .1329E+01 .1115E+01 .4363E+00 .2883E+00 .7245E+00 .2144E+00 .1811E+00 .3493E+00
.5210E+03 .1849E+01 .1406E+01 .2154E+00 .1342E+01 .1126E+01 .4408E+00 .2911E+00 .7319E+00 .2154E+00 .1835E+00 .3539E+00
.5220E+03 .1852E+01 .1409E+01 .2146E+00 .1343E+01 .1129E+01 .4417E+00 .2916E+00 .7333E+00 .2146E+00 .1843E+00 .3556E+00
.5230E+03 .1820E+01 .1386E+01 .2098E+00 .1320E+01 .1110E+01 .4344E+00 .2866E+00 .7210E+00 .2098E+00 .1818E+00 .3507E+00
.5240E+03 .1888E+01 .1437E+01 .2162E+00 .1367E+01 .1151E+01 .4504E+00 .2971E+00 .7475E+00 .2162E+00 .1890E+00 .3646E+00
.5250E+03 .1914E+01 .1456E+01 .2177E+00 .1384E+01 .1167E+01 .4565E+00 .3009E+00 .7574E+00 .2177E+00 .1920E+00 .3706E+00
.5260E+03 .1830E+01 .1393E+01 .2071E+00 .1323E+01 .1116E+01 .4368E+00 .2878E+00 .7246E+00 .2071E+00 .1842E+00 .3555E+00
.5270E+03 .1728E+01 .1315E+01 .1942E+00 .1247E+01 .1053E+01 .4121E+00 .2714E+00 .6835E+00 .1942E+00 .1742E+00 .3363E+00
.5280E+03 .1830E+01 .1393E+01 .2045E+00 .1320E+01 .1115E+01 .4365E+00 .2874E+00 .7239E+00 .2045E+00 .1851E+00 .3572E+00
.5290E+03 .1931E+01 .1469E+01 .2144E+00 .1391E+01 .1177E+01 .4605E+00 .3031E+00 .7636E+00 .2144E+00 .1957E+00 .3778E+00
.5300E+03 .1904E+01 .1450E+01 .2104E+00 .1372E+01 .1161E+01 .4545E+00 .2991E+00 .7536E+00 .2104E+00 .1937E+00 .3739E+00
.5310E+03 .1934E+01 .1473E+01 .2126E+00 .1393E+01 .1180E+01 .4618E+00 .3039E+00 .7658E+00 .2126E+00 .1973E+00 .3810E+00
.5320E+03 .1868E+01 .1424E+01 .2044E+00 .1345E+01 .1141E+01 .4465E+00 .2939E+00 .7404E+00 .2044E+00 .1913E+00 .3694E+00
.5330E+03 .1813E+01 .1384E+01 .1975E+00 .1306E+01 .1108E+01 .4338E+00 .2855E+00 .7193E+00 .1975E+00 .1863E+00 .3599E+00
.5340E+03 .1865E+01 .1426E+01 .2024E+00 .1344E+01 .1142E+01 .4469E+00 .2942E+00 .7411E+00 .2024E+00 .1925E+00 .3718E+00
.5350E+03 .1903E+01 .1457E+01 .2058E+00 .1373E+01 .1167E+01 .4567E+00 .3007E+00 .7574E+00 .2058E+00 .1973E+00 .3810E+00
.5360E+03 .1919E+01 .1471E+01 .2067E+00 .1385E+01 .1178E+01 .4610E+00 .3036E+00 .7647E+00 .2067E+00 .1997E+00 .3857E+00
.5370E+03 .1842E+01 .1413E+01 .1976E+00 .1330E+01 .1132E+01 .4431E+00 .2919E+00 .7349E+00 .1976E+00 .1924E+00 .3717E+00
